timestamp,amount,running_balance,month_year,category
2023-01-28 00:00:00+00:00,276.19,55889.63,2023-01,transfer
2023-01-28 00:00:00+00:00,-30.51,55920.14,2023-01,shopping
2023-01-28 00:00:00+00:00,50.4,55869.74,2023-01,transfer
2023-01-28 00:00:00+00:00,-13.5,55883.24,2023-01,transfer
2023-01-28 00:00:00+00:00,20.25,55862.99,2023-01,taxes
2023-01-27 00:00:00+00:00,-8.44,55871.43,2023-01,transfer
2023-01-27 00:00:00+00:00,50.59,55820.84,2023-01,transfer
2023-01-27 00:00:00+00:00,20.13,55800.71,2023-01,transfer
2023-01-27 00:00:00+00:00,-20.56,55821.27,2023-01,transport
2023-01-27 00:00:00+00:00,-2.99,55824.26,2023-01,finances
2023-01-27 00:00:00+00:00,-23.39,55847.65,2023-01,groceries / food spend
2023-01-27 00:00:00+00:00,-4.13,55851.78,2023-01,shopping
2023-01-25 00:00:00+00:00,70.0,55781.78,2023-01,transfer
2023-01-25 00:00:00+00:00,-24.5,55806.28,2023-01,entertainment
2023-01-25 00:00:00+00:00,-10.0,55816.28,2023-01,transfer
2023-01-25 00:00:00+00:00,-0.41,55816.69,2023-01,savings
2023-01-25 00:00:00+00:00,-15.71,55832.4,2023-01,shopping
2023-01-25 00:00:00+00:00,-0.5,55832.9,2023-01,savings
2023-01-25 00:00:00+00:00,-10.5,55843.4,2023-01,entertainment
2023-01-23 00:00:00+00:00,-30.0,55873.4,2023-01,finances
2023-01-23 00:00:00+00:00,32.5,55840.9,2023-01,transfer
2023-01-23 00:00:00+00:00,-100.0,55940.9,2023-01,transfer
2023-01-23 00:00:00+00:00,-1.57,55942.47,2023-01,savings
2023-01-23 00:00:00+00:00,-16.95,55959.42,2023-01,transfer
2023-01-22 00:00:00+00:00,-5.0,55964.42,2023-01,shopping
2023-01-22 00:00:00+00:00,-0.01,55964.43,2023-01,savings
2023-01-22 00:00:00+00:00,-39.25,56003.68,2023-01,bills and utilities
2023-01-22 00:00:00+00:00,-74.03,56077.71,2023-01,shopping
2023-01-22 00:00:00+00:00,-35.25,56112.96,2023-01,finances
2023-01-20 00:00:00+00:00,-150.0,56262.96,2023-01,rent
2023-01-20 00:00:00+00:00,21.52,56241.44,2023-01,taxes
2023-01-20 00:00:00+00:00,-550.0,56791.44,2023-01,business services
2023-01-20 00:00:00+00:00,328.8,56462.64,2023-01,taxes
2023-01-19 00:00:00+00:00,-11.14,56473.78,2023-01,shopping
2023-01-19 00:00:00+00:00,1450.42,55023.36,2023-01,salary
2023-01-18 00:00:00+00:00,82.21,54941.15,2023-01,finances
2023-01-17 00:00:00+00:00,174.88,54766.27,2023-01,transfer
2023-01-17 00:00:00+00:00,-12.73,54779.0,2023-01,finances
2023-01-17 00:00:00+00:00,-40.74,54819.74,2023-01,finances
2023-01-17 00:00:00+00:00,-20.0,54839.74,2023-01,transport
2023-01-17 00:00:00+00:00,-0.61,54840.35,2023-01,savings
2023-01-17 00:00:00+00:00,-6.37,54846.72,2023-01,groceries / food spend
2023-01-15 00:00:00+00:00,-63.64,54910.36,2023-01,groceries / food spend
2023-01-15 00:00:00+00:00,-0.55,54910.91,2023-01,savings
2023-01-15 00:00:00+00:00,-30.47,54941.38,2023-01,shopping
2023-01-15 00:00:00+00:00,-0.5,54941.88,2023-01,savings
2023-01-15 00:00:00+00:00,1.11,54940.77,2023-01,shopping
2023-01-15 00:00:00+00:00,-13.49,54954.26,2023-01,shopping
2023-01-14 00:00:00+00:00,-2.0,54956.26,2023-01,entertainment
2023-01-14 00:00:00+00:00,-20.5,54976.76,2023-01,entertainment
2023-01-14 00:00:00+00:00,54.08,54922.68,2023-01,entertainment
2023-01-12 00:00:00+00:00,-0.38,54923.06,2023-01,savings
2023-01-12 00:00:00+00:00,-23.11,54946.17,2023-01,transport
